ARTDES,count,sum,mean
TUNIQUE SOIN LOCATION T00,1,7,7.0
PANTALON SOIN LOCATION T01,3,7,2.33
PANTALON SOIN LOCATION T05,3,7,2.33
TAPIS DE BAIN NAS,7,7,1.0
BLOUSE MANCHES COURTES LOCATION T03,2,6,3.0
BLOUSE MANCHES COURTES LOCATION T02,2,6,3.0
BLOUSE MANCHES COURTES LOCATION T01,1,6,6.0
PANTALON BLOC (BLEU),1,6,6.0
PANTALON DE PYJAMA A LIEN TAILLE 4,1,5,5.0
PANTALON DE PYJAMA ADULTE T07,1,5,5.0
CORSET NAS,2,4,2.0
COUVERTURE 2 PLACES,1,4,4.0
COUVRE LIT,2,4,2.0
TUNIQUE SOIN LOCATION T05,3,4,1.33
BANDE VELPO (KG),3,4,1.33
SERPILLETTE (KG) LOCATION,1,4,4.0
TUNIQUE MEDICO-TECH MIXTE OUVERTE GRIS T0,1,3,3.0
SERPILLETTE,2,3,1.5
BANDE DIVERSE,1,2,2.0
TEE-SHIRT LOCATION,2,2,1.0
TRAVERSIN,1,2,2.0
DEDUCTION,1,1,1.0
ENVELOPPE DE TRAVERSIN NAS,1,1,1.0
GILET PARE-BALLES NAS,1,1,1.0
